caseid,pid_4,ideo5,gov_choice,prop_111,prop_112,trump_app,hick_app,gardner_app,cong_app,scotus_app,pot_law,gambling,fracking,gun_control,anger,pride,hope,disgust,worry,trump_app2,hick_app2,gardner_app2,cong_app2,scotus_app2,pot_law2,gambling2,fracking2,gun_control2,old_weight_old,pid_x,sex,race_4,speakspanish,marstat,child18,employ,faminc_new,casscd,religiosity,age_group,educ
4.14E+08,Republican,Very cons,Walker St,1,1,Approve,Strong Disapprove,Approve,Approve,Approve,Strong Oppose,Strong Oppose,Favor,Strong Oppose,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,1,0,1,1,1,0,0,1,0,0.5052169,6,Male,White,I can not,Married,No,Part-time,"$50,000 -",4,Once week or more,65+,Post-grad
4.14E+08,Republican,Moderate,Walker St,1,0,Approve,Strong Disapprove,Approve,Disapprove,Approve,Favor,Oppose,Favor,Oppose,Most of the Time,Sometimes,Sometimes,Most of the Time,Rarely,1,0,1,0,1,1,0,1,0,1.131238,6,Female,White,I can not,Never mar,No,Unemploye,"$50,000 -",3,Once week or more,40-49,BA
4.14E+08,Democrat,Liberal,Jared Pol,1,1,Strong Disapprove,Approve,Strong Disapprove,Strong Disapprove,Disapprove,Strongly Favor,Favor,Oppose,Strongly Favor,Most of the Time,Rarely,Never,Most of the Time,All of the Time,0,1,0,0,0,1,1,0,1,0.6796468,2,Female,White,I can not,Married,No,Permanent,"$50,000 -",2,Few times year,50-64,BA
4.14E+08,Democrat,Very cons,Jared Pol,1,1,Strong Disapprove,Strongly Approve,Strongly Approve,Strongly Approve,Strongly Approve,Strongly Favor,Strongly Favor,Favor,Strong Oppose,Never,Never,Never,Never,Never,0,1,1,1,1,1,1,1,0,0.6515355,1,Female,White,I can not,Never mar,Yes,Unemploye,Less than,3,Few times year,40-49,AA degree
4.14E+08,Independent,Moderate,Jared Pol,1,1,Strong Disapprove,,Strong Disapprove,Strong Disapprove,Disapprove,Strongly Favor,Favor,Strong Oppose,Strongly Favor,All of the Time,Never,Never,All of the Time,All of the Time,0,,0,0,0,1,1,0,1,1.060317,4,Male,Other POC,I can not,Never mar,No,Full-time,"$10,000 -",7,Once week or more,40-49,BA
4.14E+08,Democrat,Liberal,Jared Pol,1,1,Strong Disapprove,Strongly Approve,Strong Disapprove,Strong Disapprove,Strong Disapprove,Strong Oppose,,Favor,Favor,Most of the Time,Sometimes,Sometimes,Most of the Time,Most of the Time,0,1,0,0,0,0,,1,1,1.853195,1,Male,White,I can not,Married,Yes,Full-time,"$200,000",4,Few times year,40-49,BA
4.14E+08,Democrat,Very libe,Jared Pol,1,0,Strong Disapprove,Approve,Strong Disapprove,Strong Disapprove,Disapprove,Strongly Favor,Strongly Favor,Favor,Favor,All of the Time,Rarely,Rarely,All of the Time,Most of the Time,0,1,0,0,0,1,1,1,1,5.8482,1,Male,White,I can not,Never mar,No,Unemploye,,3,never,18-29,BA
4.14E+08,Democrat,,Jared Pol,1,1,Strong Disapprove,Approve,Approve,Approve,Approve,Strong Oppose,Strong Oppose,,Strongly Favor,Rarely,Rarely,Rarely,Rarely,Sometimes,0,1,1,1,1,0,0,,1,4.689561,2,Female,Hispanic,I speak S,Married,Yes,Homemaker,,6,,18-29,HS grad or less
4.14E+08,Democrat,Liberal,Jared Pol,1,1,Strong Disapprove,Approve,Disapprove,Strong Disapprove,Disapprove,Strongly Favor,Strongly Favor,Strong Oppose,,Most of the Time,Sometimes,Rarely,Sometimes,All of the Time,0,1,0,0,0,1,1,0,,1.334792,1,Male,White,I can not,Never mar,No,Full-time,"$20,000 -",6,Few times year,30-39,BA
4.14E+08,Democrat,Liberal,Jared Pol,1,1,Strong Disapprove,Approve,Strong Disapprove,Strong Disapprove,Strong Disapprove,Strongly Favor,Strongly Favor,Oppose,Strongly Favor,Most of the Time,Rarely,Rarely,Most of the Time,Most of the Time,0,1,0,0,0,1,1,0,1,1.060317,1,Male,Hispanic,I speak E,Married,Yes,Full-time,"$200,000",1,Few times year,40-49,BA
4.14E+08,Republican,Very cons,Walker St,1,0,Approve,,,Approve,Approve,Strong Oppose,,Favor,Oppose,Rarely,Sometimes,Most of the Time,Sometimes,All of the Time,1,,,1,1,0,,1,0,1.085132,7,Female,White,I can not,Married,Yes,Homemaker,"$60,000 -",4,Once week or more,30-39,Post-grad
4.14E+08,Democrat,Moderate,Jared Pol,1,1,Strong Disapprove,Approve,,,,Favor,,,Strongly Favor,Never,Rarely,Never,Never,Never,0,1,,,,1,,,1,1.319318,2,Female,Black,I can not,Married,Yes,Full-time,"$70,000 -",5,never,30-39,BA
4.14E+08,Republican,,Walker St,1,0,,,,,,Favor,Oppose,,Strongly Favor,Rarely,Sometimes,Sometimes,Sometimes,Rarely,,,,,,1,0,,1,1.872111,6,Female,White,I can not,Never mar,No,Full-time,"$70,000 -",4,Few times year,30-39,BA
4.14E+08,Democrat,Liberal,Jared Pol,1,1,Strong Disapprove,Strongly Approve,Strong Disapprove,Strong Disapprove,,Strong Oppose,,Strong Oppose,Strongly Favor,Most of the Time,Sometimes,Rarely,Most of the Time,All of the Time,0,1,0,0,,0,,0,1,1.402981,2,Female,Other POC,I can not,Never mar,Yes,Full-time,"$10,000 -",5,Once week or more,30-39,BA
4.14E+08,Independent,Moderate,Walker St,1,0,Disapprove,Approve,Disapprove,Disapprove,Disapprove,Favor,Favor,Favor,Favor,Sometimes,Sometimes,Rarely,Most of the Time,Sometimes,0,1,0,0,0,1,1,1,1,1.259487,4,Female,White,I can not,Married,No,Full-time,"$70,000 -",7,Few times year,30-39,Post-grad
4.14E+08,Democrat,Liberal,Jared Pol,1,1,Strong Disapprove,Approve,,Disapprove,Disapprove,Favor,Favor,,Favor,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,0,1,,0,0,1,1,,1,1.024735,2,Female,White,I can not,Married,No,Full-time,"$120,000",3,never,30-39,Post-grad
4.14E+08,Republican,Conservat,Walker St,1,1,Disapprove,,,,,Strong Oppose,Oppose,Favor,Strongly Favor,Most of the Time,Sometimes,Rarely,Most of the Time,Sometimes,0,,,,,0,0,1,1,0.548161,6,Female,White,I can not,Never mar,No,Part-time,"$150,000",5,Once week or more,40-49,Post-grad
4.14E+08,Democrat,Very libe,Jared Pol,1,1,Strong Disapprove,Strongly Approve,Strong Disapprove,Disapprove,Disapprove,Strongly Favor,Strong Oppose,Oppose,Oppose,All of the Time,Rarely,Rarely,All of the Time,Most of the Time,0,1,0,0,0,1,0,0,0,1.407736,1,Female,White,I can not,Divorced,Yes,Part-time,"$10,000 -",3,never,30-39,Some college
4.14E+08,Democrat,Liberal,Jared Pol,1,0,Strong Disapprove,Strongly Approve,,,,Strongly Favor,Strong Oppose,Strongly Favor,Favor,Sometimes,All of the Time,Rarely,Most of the Time,Most of the Time,0,1,,,,1,0,1,1,0.520866,2,Female,White,I can not,Domestic,Yes,Homemaker,"$80,000 -",3,Few times year,30-39,Some college
4.14E+08,Democrat,Very libe,Jared Pol,1,1,Strong Disapprove,Approve,Strong Disapprove,Strong Disapprove,Strong Disapprove,Strongly Favor,Oppose,Strong Oppose,Strongly Favor,All of the Time,Never,Rarely,All of the Time,All of the Time,0,1,0,0,0,1,0,0,1,0.8382351,1,Female,White,I can not,Married,Yes,Full-time,"$100,000",5,never,40-49,Post-grad
4.14E+08,Democrat,Very cons,Jared Pol,1,1,Strong Disapprove,,,Strongly Approve,Strongly Approve,Strongly Favor,Strongly Favor,Strong Oppose,Strong Oppose,Rarely,All of the Time,All of the Time,Rarely,Rarely,0,,,1,1,1,1,0,0,0.6515355,1,Female,White,I can not,Never mar,Yes,Unemploye,Less than,3,Few times year,40-49,AA degree
4.14E+08,Independent,Moderate,Walker St,1,1,Approve,Strong Disapprove,Approve,Strong Disapprove,Approve,Strongly Favor,Favor,Strong Oppose,Favor,Rarely,Sometimes,Sometimes,Most of the Time,Sometimes,1,0,1,0,1,1,1,0,1,0.520866,4,Female,White,I can not,Never mar,Yes,Homemaker,"$70,000 -",1,never,30-39,Some college
4.14E+08,Independent,Moderate,Jared Pol,1,1,Strong Disapprove,Approve,,,,Strongly Favor,Strongly Favor,Favor,Strongly Favor,Sometimes,Most of the Time,Rarely,Most of the Time,Most of the Time,0,1,,,,1,1,1,1,3.054088,4,Female,White,I can not,Married,No,Full-time,"$100,000",1,Few times year,18-29,BA
4.14E+08,Democrat,Moderate,Some othe,1,1,Strong Disapprove,,,Approve,,,,,,Sometimes,Sometimes,Never,Most of the Time,Sometimes,0,,,1,,,,,,1.316714,2,Female,Black,I can not,Domestic,Yes,Permanent,"$10,000 -",6,,18-29,Some college
4.14E+08,Democrat,Very libe,Jared Pol,1,1,Strong Disapprove,Strongly Approve,Strong Disapprove,Strong Disapprove,Disapprove,Strongly Favor,,Strong Oppose,Strongly Favor,All of the Time,Sometimes,Rarely,All of the Time,Most of the Time,0,1,0,0,0,1,,0,1,6.386798,1,Male,White,I can not,Never mar,No,Student,,7,Few times year,18-29,Some college
4.14E+08,Independent,Conservat,Scott Hel,1,1,Disapprove,Strong Disapprove,Strong Disapprove,Strong Disapprove,Approve,Strongly Favor,Strongly Favor,Strongly Favor,Strong Oppose,Sometimes,Rarely,Never,Most of the Time,Rarely,0,0,0,0,1,1,1,1,0,0.7505242,4,Male,White,I can not,Married,Yes,Full-time,"$100,000",4,Once week or more,40-49,AA degree
4.14E+08,Democrat,Very libe,Jared Pol,1,1,Strong Disapprove,Approve,Strong Disapprove,Strong Disapprove,Disapprove,Strongly Favor,Favor,Oppose,Strongly Favor,All of the Time,Rarely,Never,All of the Time,All of the Time,0,1,0,0,0,1,1,0,1,4.507043,1,Male,White,I can not,Never mar,No,Full-time,"$50,000 -",4,never,18-29,Some college
4.14E+08,Democrat,Moderate,Jared Pol,1,1,Disapprove,Strong Disapprove,Disapprove,Disapprove,Approve,Strongly Favor,Strongly Favor,Favor,Strong Oppose,Sometimes,Sometimes,Rarely,Most of the Time,Most of the Time,0,0,0,0,1,1,1,1,0,4.122224,3,Male,Hispanic,I speak E,Married,Yes,Homemaker,"$30,000 -",4,Few times year,30-39,Some college
4.14E+08,Independent,Moderate,Walker St,1,0,Approve,Approve,,,,Favor,Favor,,Strong Oppose,Most of the Time,Sometimes,Sometimes,Most of the Time,Most of the Time,1,1,,,,1,1,,0,3.219876,4,Female,White,I can not,Never mar,No,Full-time,"$30,000 -",7,Few times year,18-29,AA degree
4.14E+08,Independent,Very libe,Jared Pol,1,1,Strong Disapprove,,Approve,Strong Disapprove,Strong Disapprove,Strongly Favor,Favor,Strong Oppose,Strongly Favor,All of the Time,Rarely,Never,All of the Time,All of the Time,0,,1,0,0,1,1,0,1,4.234015,4,Female,White,I can not,Domestic,No,Part-time,"$20,000 -",5,never,18-29,HS grad or less
4.14E+08,Independent,Liberal,Jared Pol,1,0,Strong Disapprove,Approve,Disapprove,Strong Disapprove,Disapprove,Strongly Favor,Strongly Favor,Oppose,Favor,Most of the Time,Sometimes,Rarely,Most of the Time,Sometimes,0,1,0,0,0,1,1,0,1,2.348333,4,Male,White,I can not,Divorced,No,Full-time,"$50,000 -",7,never,30-39,Post-grad
4.14E+08,Independent,Moderate,Jared Pol,1,1,Strong Disapprove,,,Strong Disapprove,Strong Disapprove,Favor,Oppose,Strong Oppose,Strongly Favor,Sometimes,Most of the Time,Rarely,Most of the Time,Most of the Time,0,,,0,0,1,0,0,1,0.7489996,4,Female,White,I can not,Married,Yes,Full-time,"$30,000 -",3,Once week or more,30-39,AA degree
4.14E+08,Democrat,Liberal,Jared Pol,1,1,Strong Disapprove,Approve,Disapprove,Disapprove,Disapprove,Favor,Favor,Favor,Strongly Favor,Most of the Time,Rarely,Rarely,Most of the Time,Most of the Time,0,1,0,0,0,1,1,1,1,0.4972177,1,Female,White,I can not,Never mar,No,Unemploye,"$40,000 -",1,Few times year,50-64,Some college
4.14E+08,Independent,Moderate,Walker St,1,0,Strongly Approve,Disapprove,Approve,Disapprove,Approve,Strong Oppose,Oppose,Strongly Favor,Strong Oppose,Sometimes,Most of the Time,Most of the Time,Sometimes,Sometimes,1,0,1,0,1,0,0,1,0,0.7660991,4,Male,Black,I can not,Married,Yes,Retired,"$30,000 -",1,Few times year,50-64,AA degree
4.14E+08,Republican,Conservat,Walker St,0,0,Strongly Approve,Disapprove,Approve,Disapprove,Approve,Strong Oppose,Favor,Strongly Favor,Strong Oppose,Sometimes,All of the Time,Most of the Time,Sometimes,Sometimes,1,0,1,0,1,0,1,1,0,0.6799303,7,Male,White,I can not,Married,No,Retired,"$120,000",6,Few times year,50-64,BA
4.14E+08,Democrat,Very libe,Jared Pol,1,1,Strong Disapprove,Approve,Strong Disapprove,Disapprove,Disapprove,Favor,,Strong Oppose,Strongly Favor,All of the Time,Rarely,Sometimes,All of the Time,All of the Time,0,1,0,0,0,1,,0,1,0.5039799,1,Female,White,I can not,Married,No,Full-time,"$100,000",2,never,40-49,Post-grad
4.14E+08,Republican,Very cons,Walker St,1,0,Strongly Approve,Strong Disapprove,,Disapprove,,Strong Oppose,Strong Oppose,Strongly Favor,Strong Oppose,Most of the Time,Most of the Time,Sometimes,Most of the Time,Sometimes,1,0,,0,,0,0,1,0,0.7270633,7,Male,White,I can not,Married,No,Permanent,"$60,000 -",3,Few times year,50-64,AA degree
4.14E+08,Republican,Moderate,Walker St,0,0,Approve,Approve,Approve,Strong Disapprove,Approve,Favor,Favor,Strongly Favor,Strong Oppose,Sometimes,Most of the Time,Sometimes,Most of the Time,Sometimes,1,1,1,0,1,1,1,1,0,0.9216538,5,Female,White,I can not,Married,No,Full-time,"$30,000 -",4,Once week or more,40-49,AA degree
4.14E+08,Democrat,Liberal,Jared Pol,1,0,Strong Disapprove,Strongly Approve,Strong Disapprove,Strong Disapprove,Disapprove,Strongly Favor,,Favor,Strongly Favor,Most of the Time,Rarely,Rarely,Most of the Time,Most of the Time,0,1,0,0,0,1,,1,1,2.268287,1,Female,Hispanic,I can not,Married,No,Homemaker,"$60,000 -",7,Few times year,40-49,HS grad or less
4.14E+08,Independent,Moderate,Jared Pol,1,1,Strong Disapprove,Approve,Disapprove,Strong Disapprove,Approve,Favor,Strong Oppose,Strong Oppose,Strongly Favor,Sometimes,Sometimes,Most of the Time,Sometimes,Most of the Time,0,1,0,0,1,1,0,0,1,0.4972177,4,Female,White,I can not,Divorced,No,Permanent,"$10,000 -",2,Few times year,50-64,Some college
4.14E+08,Independent,Liberal,Jared Pol,1,1,Strong Disapprove,Approve,Strong Disapprove,Disapprove,Approve,Strongly Favor,Strongly Favor,Oppose,Strongly Favor,Most of the Time,Sometimes,Rarely,Most of the Time,Most of the Time,0,1,0,0,1,1,1,0,1,0.3969231,4,Male,White,I can not,Married,No,Other,"$70,000 -",3,Once week or more,50-64,Post-grad
4.14E+08,Independent,Liberal,Jared Pol,1,1,Strong Disapprove,Approve,Strong Disapprove,Strong Disapprove,Strong Disapprove,Favor,Oppose,Strong Oppose,Strongly Favor,All of the Time,Never,Never,All of the Time,All of the Time,0,1,0,0,0,1,0,0,1,0.400881,4,Male,White,I can not,Married,No,Full-time,"$60,000 -",1,never,50-64,Some college
4.14E+08,Democrat,Liberal,Jared Pol,1,0,Strong Disapprove,Approve,Disapprove,Strong Disapprove,Disapprove,Strongly Favor,Strong Oppose,Oppose,Favor,Sometimes,Rarely,Rarely,Most of the Time,All of the Time,0,1,0,0,0,1,0,0,1,0.396824,2,Female,White,I can not,Divorced,No,Full-time,"$100,000",7,never,50-64,BA
4.14E+08,Republican,Moderate,Walker St,1,0,Strongly Approve,Disapprove,Strong Disapprove,Strong Disapprove,Strongly Approve,Strongly Favor,,Favor,Strong Oppose,Sometimes,Rarely,Never,Most of the Time,Most of the Time,1,0,0,0,1,1,,1,0,0.4407389,6,Female,White,I can not,Married,No,Full-time,"$60,000 -",5,Few times year,50-64,Post-grad
4.14E+08,Republican,Conservat,Walker St,0,0,Strongly Approve,Strong Disapprove,Approve,Approve,Strongly Approve,Strongly Favor,Favor,Strongly Favor,Oppose,All of the Time,Most of the Time,Sometimes,All of the Time,All of the Time,1,0,1,1,1,1,1,1,0,4.689561,6,Female,Hispanic,I speak E,Never mar,No,Student,"$80,000 -",7,Few times year,18-29,HS grad or less
4.14E+08,Democrat,Moderate,Jared Pol,1,1,Strong Disapprove,Strongly Approve,Strong Disapprove,Strong Disapprove,Disapprove,Strongly Favor,Oppose,Strong Oppose,Favor,Most of the Time,Never,Rarely,Most of the Time,All of the Time,0,1,0,0,0,1,0,0,1,1.068274,1,Female,White,I can not,Domestic,No,Student,"$10,000 -",5,never,40-49,BA
4.14E+08,Republican,Very cons,Walker St,0,0,Disapprove,Strong Disapprove,Strongly Approve,Strongly Approve,Strongly Approve,Strong Oppose,Strong Oppose,Strongly Favor,Strong Oppose,Most of the Time,Rarely,Rarely,Most of the Time,Most of the Time,0,0,1,1,1,0,0,1,0,1.666994,7,Female,Hispanic,I speak b,Married,Yes,Homemaker,"$50,000 -",7,Once week or more,18-29,Some college
4.14E+08,Democrat,Liberal,Jared Pol,1,1,Strong Disapprove,Strongly Approve,Strong Disapprove,Strong Disapprove,Strong Disapprove,Strongly Favor,Favor,Strong Oppose,Oppose,All of the Time,Rarely,Rarely,All of the Time,All of the Time,0,1,0,0,0,1,1,0,0,0.3969231,1,Male,White,I can not,Married,No,Full-time,"$100,000",7,never,50-64,Post-grad
4.14E+08,Democrat,Liberal,Jared Pol,1,1,Strong Disapprove,Approve,Disapprove,Strong Disapprove,Disapprove,Strongly Favor,Oppose,Strong Oppose,Favor,All of the Time,Never,Rarely,All of the Time,Sometimes,0,1,0,0,0,1,0,0,1,0.4162077,1,Female,White,I can not,Divorced,No,Part-time,"$70,000 -",2,never,50-64,Post-grad
4.14E+08,Democrat,Very libe,Jared Pol,1,1,Strong Disapprove,Approve,Disapprove,Strong Disapprove,,Strongly Favor,Oppose,Strong Oppose,Strongly Favor,Most of the Time,Sometimes,Rarely,All of the Time,All of the Time,0,1,0,0,,1,0,0,1,0.426306,2,Female,Other POC,I can not,Never mar,No,Retired,"$30,000 -",3,never,50-64,BA
4.14E+08,Other,Very cons,Walker St,0,0,Strongly Approve,Strong Disapprove,Approve,Disapprove,Approve,Strong Oppose,Strong Oppose,Strongly Favor,Strong Oppose,Most of the Time,Sometimes,Rarely,Most of the Time,Most of the Time,1,0,1,0,1,0,0,1,0,0.5218897,,Male,Other POC,I can not,Divorced,No,Permanent,"$70,000 -",5,never,50-64,BA
4.14E+08,Independent,Liberal,Jared Pol,1,1,Strong Disapprove,Disapprove,Strong Disapprove,Disapprove,Strong Disapprove,Strongly Favor,Oppose,Strong Oppose,Strongly Favor,Most of the Time,Rarely,Rarely,Most of the Time,Most of the Time,0,0,0,0,0,1,0,0,1,0.454245,4,Female,White,I can not,Never mar,No,Part-time,,7,never,40-49,BA
4.14E+08,Democrat,Liberal,Jared Pol,1,1,Strong Disapprove,Strongly Approve,Strong Disapprove,Disapprove,Approve,Strongly Favor,Strong Oppose,Strong Oppose,Strongly Favor,All of the Time,Rarely,Rarely,All of the Time,All of the Time,0,1,0,0,1,1,0,0,1,1.378738,1,Female,White,I can not,Divorced,No,Permanent,Less than,7,never,50-64,HS grad or less
4.14E+08,Republican,Conservat,Walker St,1,0,Strongly Approve,Strong Disapprove,Strongly Approve,Disapprove,Approve,Oppose,Favor,Strongly Favor,Strong Oppose,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,1,0,1,0,1,0,1,1,0,0.4852533,7,Male,White,I can not,Married,No,Retired,"$100,000",4,Few times year,65+,BA
4.14E+08,Other,Very libe,Jared Pol,1,1,Strong Disapprove,Approve,Strong Disapprove,Strong Disapprove,Disapprove,Strongly Favor,Strong Oppose,Strong Oppose,Strongly Favor,All of the Time,Rarely,Rarely,All of the Time,All of the Time,0,1,0,0,0,1,0,0,1,0.4582445,,Male,White,I can not,Domestic,No,Retired,"$70,000 -",3,never,65+,BA
4.14E+08,Independent,Moderate,Walker St,1,0,Disapprove,Approve,Disapprove,Strong Disapprove,Approve,Oppose,Strong Oppose,Favor,,Rarely,Rarely,Most of the Time,Sometimes,Rarely,0,1,0,0,1,0,0,1,,0.3174395,4,Male,White,I can not,Married,No,Full-time,"$70,000 -",4,Few times year,50-64,Some college
4.14E+08,Republican,Very cons,Walker St,0,0,Strongly Approve,Strong Disapprove,Approve,Approve,Strongly Approve,Strong Oppose,Oppose,Strongly Favor,Strong Oppose,Sometimes,Most of the Time,Most of the Time,Sometimes,Sometimes,1,0,1,1,1,0,0,1,0,0.4807088,7,Male,White,I can not,Never mar,No,Full-time,"$30,000 -",3,Few times year,50-64,BA
4.14E+08,Republican,Conservat,Walker St,1,0,Strongly Approve,Strong Disapprove,Approve,Approve,Strongly Approve,Favor,,Strongly Favor,Oppose,Most of the Time,Most of the Time,Most of the Time,Most of the Time,All of the Time,1,0,1,1,1,1,,1,0,0.7811916,7,Female,White,I can not,Married,No,Retired,"$250,000",2,Few times year,65+,Post-grad
4.14E+08,Republican,Conservat,Walker St,1,0,Strongly Approve,Disapprove,Disapprove,Approve,Approve,Strongly Favor,Favor,Oppose,Strong Oppose,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,1,0,0,1,1,1,1,0,0,0.4807088,5,Male,White,I can not,Divorced,No,Full-time,,6,Once week or more,50-64,BA
4.14E+08,Democrat,Liberal,Jared Pol,1,1,Strong Disapprove,Strongly Approve,Strong Disapprove,Strong Disapprove,Disapprove,Favor,Strong Oppose,Strong Oppose,Favor,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,0,1,0,0,0,1,0,0,1,0.4770969,1,Male,White,I can not,Married,No,Retired,,3,Few times year,65+,Post-grad
4.14E+08,Republican,Conservat,Walker St,1,0,Strongly Approve,Approve,Approve,Approve,Approve,Strongly Favor,Strongly Favor,Strongly Favor,Strong Oppose,Most of the Time,Rarely,Sometimes,Most of the Time,Most of the Time,1,1,1,1,1,1,1,1,0,1.413464,7,Male,White,I can not,Married,No,Full-time,"$80,000 -",7,Once week or more,30-39,BA
4.14E+08,Democrat,Moderate,Jared Pol,1,1,,Strongly Approve,,Strong Disapprove,Strong Disapprove,Strongly Favor,,Strong Oppose,Favor,Most of the Time,Sometimes,Rarely,Most of the Time,Most of the Time,,1,,0,0,1,,0,1,0.7328401,1,Male,White,I can not,Married,No,Other,"$20,000 -",7,Few times year,65+,Some college
4.14E+08,Republican,Very cons,Walker St,0,0,Strongly Approve,Disapprove,Approve,Disapprove,Approve,Favor,,Strongly Favor,Strong Oppose,Sometimes,Sometimes,Sometimes,Most of the Time,Sometimes,1,0,1,0,1,1,,1,0,0.4807088,7,Male,White,I can not,Married,No,Full-time,"$70,000 -",3,Once week or more,50-64,BA
4.14E+08,Independent,Liberal,Jared Pol,1,0,Strong Disapprove,Approve,Disapprove,Strong Disapprove,Disapprove,Strongly Favor,,Favor,Strongly Favor,Most of the Time,Rarely,Rarely,Most of the Time,Most of the Time,0,1,0,0,0,1,,1,1,0.4162077,4,Female,White,I can not,Married,No,Retired,"$80,000 -",1,never,50-64,Post-grad
4.14E+08,Democrat,Very libe,Jared Pol,1,0,Strong Disapprove,Approve,Strong Disapprove,Strong Disapprove,Strong Disapprove,Strongly Favor,Favor,Favor,Strongly Favor,Sometimes,Sometimes,Rarely,Most of the Time,Most of the Time,0,1,0,0,0,1,1,1,1,0.4539529,1,Male,White,I can not,Divorced,No,Part-time,"$40,000 -",7,Few times year,50-64,BA
4.14E+08,Independent,Moderate,Jared Pol,1,0,Strong Disapprove,Strongly Approve,Strong Disapprove,Strong Disapprove,Disapprove,Oppose,Oppose,Favor,Strongly Favor,Sometimes,Rarely,Rarely,Most of the Time,Sometimes,0,1,0,0,0,0,0,1,1,0.4768152,4,Female,White,I can not,Divorced,No,Retired,,7,Once week or more,65+,BA
